n,peak,peak_over_n
1,1,1.000000
3,16,5.333333
7,52,7.428571
15,160,10.666667
27,9232,341.925926
703,250504,356.335704
1819,1276936,701.998900
4255,6810136,1600.501998
4591,8153620,1776.000871
9663,27114424,2806.004760
26623,106358020,3994.967509
60975,593279152,9729.875392
77671,1570824736,20224.082811
113383,2482111348,21891.388903
159487,17202377752,107860.689285
1212415,139646736808,115180.640959
2684647,352617812944,131346.062609
3041127,622717901620,204765.503585
3873535,858555169576,221646.421054
4637979,1318802294932,284348.483452
5656191,2412493616608,426522.657493
6416623,4799996945368,748056.562676
6631675,60342610919632,9099150.805736
19638399,306296925203752,15596837.868696
80049391,2185143829170100,27297444.763447
210964383,6404797161121264,30359613.646827
319804831,1414236446719942480,4422186001.061198
1010741193,1414236446719942480,1399207291.158601
1410123943,7125885122794452160,5053375030.023479
