t,combined_kb,14_58,16_48
0.004860639572143555,5044,4856,188
2.005310535430908,492208,248400,243808
4.005762577056885,868876,482684,386192
6.009583950042725,1095548,552688,542860
8.009907484054565,1295080,651296,643784
10.010303258895874,1646016,897900,748116
12.01065731048584,1930136,925000,1005136
14.01101279258728,2071656,1051048,1020608
16.011337757110596,2291336,1149760,1141576
18.011736154556274,2485016,1245064,1239952
20.012208461761475,2834556,1496084,1338472
22.012548685073853,3219048,1793576,1425472
24.01287055015564,3348880,1616956,1731924
26.013294219970703,3834188,1793896,2040292
28.013582944869995,3834444,1953164,1881280
30.013920545578003,4014260,1962472,2051788
32.01758551597595,4100872,1962472,2138400
34.01801514625549,4100872,1962472,2138400
36.018351793289185,4100872,1962472,2138400
38.01871728897095,4100872,1962472,2138400
40.01912522315979,4100872,1962472,2138400
42.01946449279785,4100872,1962472,2138400
44.019850969314575,4100872,1962472,2138400
46.02034783363342,4100872,1962472,2138400
48.02071261405945,4100872,1962472,2138400
50.02107000350952,4100872,1962472,2138400
52.02143669128418,4100872,1962472,2138400
54.02559161186218,4100872,1962472,2138400
56.0259222984314,4100872,1962472,2138400
58.02626705169678,4100872,1962472,2138400
60.02661371231079,4100872,1962472,2138400
62.02696394920349,4100872,1962472,2138400
64.02731847763062,4100872,1962472,2138400
66.02769613265991,4100872,1962472,2138400
68.02812099456787,4100872,1962472,2138400
70.0284492969513,4100872,1962472,2138400
72.02878308296204,4100872,1962472,2138400
74.02912712097168,4100872,1962472,2138400
76.02945876121521,4100872,1962472,2138400
78.02986645698547,4100872,1962472,2138400
80.03027296066284,4100872,1962472,2138400
82.03361225128174,4100872,1962472,2138400
84.03406691551208,4100872,1962472,2138400
86.03443121910095,4100872,1962472,2138400
88.0348641872406,4100872,1962472,2138400
90.0354905128479,4100872,1962472,2138400
92.03584265708923,4100872,1962472,2138400
94.0362057685852,4100872,1962472,2138400
96.0365526676178,4100872,1962472,2138400
98.0369234085083,4100872,1962472,2138400
100.03729557991028,4100872,1962472,2138400
102.04164409637451,4100872,1962472,2138400
104.04200267791748,4100872,1962472,2138400
106.0423572063446,4100872,1962472,2138400
108.04270958900452,4100872,1962472,2138400
110.0430691242218,4100872,1962472,2138400
112.04338383674622,4100872,1962472,2138400
114.04373574256897,4100872,1962472,2138400
116.04412460327148,4100872,1962472,2138400
118.04452085494995,4100872,1962472,2138400
120.04498195648193,4100872,1962472,2138400
122.04569625854492,4100872,1962472,2138400
124.06420063972473,4100872,1962472,2138400
126.13688826560974,4100872,1962472,2138400
128.34902048110962,4100872,1962472,2138400
130.43395924568176,4100872,1962472,2138400
132.43758535385132,4100872,1962472,2138400
134.4379255771637,4100872,1962472,2138400
136.43826603889465,4100872,1962472,2138400
138.43861031532288,4100872,1962472,2138400
140.43907356262207,4100872,1962472,2138400
142.43940591812134,4100872,1962472,2138400
144.43974208831787,4100872,1962472,2138400
146.44007778167725,4100872,1962472,2138400
148.4404034614563,4100872,1962472,2138400
150.44075655937195,4100872,1962472,2138400
152.44114899635315,4100872,1962472,2138400
154.44148087501526,4100872,1962472,2138400
156.4455885887146,4100872,1962472,2138400
158.44595670700073,4100872,1962472,2138400
160.44629001617432,4100872,1962472,2138400
162.44666147232056,4100872,1962472,2138400
164.44713497161865,4100872,1962472,2138400
166.4475121498108,4100872,1962472,2138400
168.4478497505188,4100872,1962472,2138400
170.44821453094482,4100872,1962472,2138400
172.44866919517517,4100872,1962472,2138400
174.44901156425476,4100872,1962472,2138400
176.44938492774963,4100872,1962472,2138400
178.44975876808167,4100872,1962472,2138400
180.45011973381042,4100872,1962472,2138400
182.4536406993866,4100872,1962472,2138400
184.4541003704071,4100872,1962472,2138400
186.45446348190308,4100872,1962472,2138400
188.4549560546875,4100872,1962472,2138400
190.45530581474304,4100872,1962472,2138400
192.45569777488708,4100872,1962472,2138400
194.45605206489563,4100872,1962472,2138400
196.45643091201782,4100872,1962472,2138400
198.45677781105042,4100872,1962472,2138400
200.4571716785431,4100872,1962472,2138400
202.4575695991516,4100872,1962472,2138400
204.46160101890564,4100872,1962472,2138400
206.4619653224945,4100872,1962472,2138400
208.46230506896973,4100872,1962472,2138400
210.46263909339905,4100872,1962472,2138400
212.46297645568848,4100872,1962472,2138400
214.46330332756042,4100872,1962472,2138400
216.46364951133728,4100872,1962472,2138400
218.4639925956726,4100872,1962472,2138400
220.46436524391174,4100872,1962472,2138400
222.46470546722412,4100872,1962472,2138400
224.46506094932556,4100872,1962472,2138400
226.46540784835815,4100872,1962472,2138400
228.46580481529236,4100872,1962472,2138400
230.4661374092102,4100872,1962472,2138400
232.46958756446838,4100872,1962472,2138400
234.4699146747589,4100872,1962472,2138400
236.4702763557434,4100872,1962472,2138400
238.4706072807312,4100872,1962472,2138400
240.47095108032227,4100872,1962472,2138400
242.47130417823792,4100872,1962472,2138400
244.4720709323883,4100872,1962472,2138400
246.4724907875061,4100872,1962472,2138400
248.47281765937805,4100872,1962472,2138400
250.4731948375702,4100872,1962472,2138400
252.4738826751709,4100872,1962472,2138400
254.47517728805542,4100872,1962472,2138400
256.475501537323,4100872,1962472,2138400
258.4758267402649,4100872,1962472,2138400
260.47615361213684,4100872,1962472,2138400
262.47652316093445,4100872,1962472,2138400
264.4768512248993,4100872,1962472,2138400
266.48159670829773,4100872,1962472,2138400
268.48195123672485,4100872,1962472,2138400
270.48227071762085,4100872,1962472,2138400
272.48263788223267,4100872,1962472,2138400
274.4829730987549,4100872,1962472,2138400
276.48336458206177,4100872,1962472,2138400
278.48373913764954,4100872,1962472,2138400
280.4841582775116,4100872,1962472,2138400
282.484512090683,4100872,1962472,2138400
284.4849510192871,4100872,1962472,2138400
286.48602962493896,4100872,1962472,2138400
288.49540162086487,4100872,1962472,2138400
290.4958689212799,4100872,1962472,2138400
292.4962100982666,4100872,1962472,2138400
294.49666929244995,4100872,1962472,2138400
296.4970772266388,4100872,1962472,2138400
298.49754309654236,4100872,1962472,2138400
300.5021643638611,4100872,1962472,2138400
302.5025625228882,4100872,1962472,2138400
304.5029697418213,4100872,1962472,2138400
306.50332474708557,4100872,1962472,2138400
308.5036461353302,4100872,1962472,2138400
310.5040237903595,4100872,1962472,2138400
312.5044057369232,4100872,1962472,2138400
314.5047709941864,4100872,1962472,2138400
316.5051488876343,4100872,1962472,2138400
318.505558013916,4100872,1962472,2138400
320.505912065506,4100872,1962472,2138400
322.50626015663147,4100872,1962472,2138400
324.5066261291504,4100872,1962472,2138400
326.5095896720886,4100872,1962472,2138400
328.5099277496338,4100872,1962472,2138400
330.5103349685669,4100872,1962472,2138400
332.5108244419098,4100872,1962472,2138400
334.51118874549866,4100872,1962472,2138400
336.5116240978241,4100872,1962472,2138400
338.5119559764862,4100872,1962472,2138400
340.51233530044556,4100872,1962472,2138400
342.51268577575684,4100872,1962472,2138400
344.51307106018066,4100872,1962472,2138400
346.5134217739105,4100872,1962472,2138400
348.5175838470459,4100872,1962472,2138400
350.52143955230713,4100872,1962472,2138400
352.5218095779419,4100872,1962472,2138400
354.52216935157776,4100872,1962472,2138400
356.5225160121918,4100872,1962472,2138400
358.5228440761566,4100872,1962472,2138400
360.52320671081543,4100872,1962472,2138400
362.5235650539398,4100872,1962472,2138400
364.52390480041504,4100872,1962472,2138400
366.5242691040039,4100872,1962472,2138400
368.5246765613556,4100872,1962472,2138400
370.52500200271606,4100872,1962472,2138400
372.52534317970276,4100872,1962472,2138400
374.52572751045227,4100872,1962472,2138400
376.5295832157135,4100872,1962472,2138400
378.5299708843231,4100872,1962472,2138400
380.5303108692169,3805416,1962472,1842944
382.53091168403625,1962472,1962472,
384.5330924987793,1962472,1962472,
386.53378653526306,1962472,1962472,
388.5342507362366,1962472,1962472,
390.534912109375,1962472,1962472,
392.5353412628174,1962472,1962472,
394.53581643104553,1962472,1962472,
396.5362124443054,1962472,1962472,
398.53657603263855,1962472,1962472,
400.5369336605072,1962472,1962472,
402.53728890419006,1962472,1962472,
404.5415925979614,1962472,1962472,
406.54198813438416,1962472,1962472,
408.5423650741577,1962472,1962472,
410.54275584220886,1962472,1962472,
412.5431773662567,1962472,1962472,
414.5435953140259,1962472,1962472,
416.5440912246704,1962472,1962472,
418.5445077419281,1962472,1962472,
420.5449216365814,1962472,1962472,
422.5453727245331,1962472,1962472,
424.5459065437317,1962472,1962472,
426.546329498291,1962472,1962472,
428.54677295684814,1962472,1962472,
430.5471646785736,1962472,1962472,
432.5476162433624,1962472,1962472,
434.5480945110321,1962472,1962472,
436.54850459098816,1962472,1962472,
438.54889845848083,1962472,1962472,
440.5493869781494,1962472,1962472,
442.54985785484314,1962472,1962472,
444.5502436161041,1962472,1962472,
446.5507140159607,1962472,1962472,
448.5511152744293,1962472,1962472,
450.5515127182007,1962472,1962472,
452.5520966053009,1962472,1962472,
454.55257964134216,1962472,1962472,
456.55308628082275,1962472,1962472,
458.55347299575806,1962472,1962472,
460.5539426803589,1962472,1962472,
462.5543191432953,1962472,1962472,
464.5547516345978,1962472,1962472,
466.5551881790161,1962472,1962472,
468.5556254386902,1962472,1962472,
470.5560450553894,1962472,1962472,
472.55646872520447,1962472,1962472,
474.5569531917572,1962472,1962472,
476.5574059486389,1962472,1962472,
478.55793738365173,1962472,1962472,
480.5583393573761,1962472,1962472,
482.5587866306305,1962472,1962472,
484.5592589378357,1962472,1962472,
486.5597298145294,1962472,1962472,
488.560186624527,1962472,1962472,
490.5649712085724,1962472,1962472,
492.5654082298279,1962472,1962472,
494.5658059120178,1962472,1962472,
496.5661723613739,1962472,1962472,
498.5665271282196,1962472,1962472,
500.56693601608276,1962472,1962472,
502.56733107566833,1962472,1962472,
504.5677523612976,1962472,1962472,
506.5681736469269,1962472,1962472,
508.5685815811157,1962472,1962472,
510.568945646286,1962472,1962472,
512.569354057312,1962472,1962472,
514.5698175430298,1962472,1962472,
516.5702173709869,1962472,1962472,
518.5705935955048,1962472,1962472,
520.5709331035614,1962472,1962472,
522.5713312625885,1962472,1962472,
524.5717599391937,1962472,1962472,
526.5721848011017,1962472,1962472,
528.5726025104523,1962472,1962472,
530.5730512142181,1962472,1962472,
532.5735404491425,1962472,1962472,
534.5739243030548,1962472,1962472,
536.574298620224,1962472,1962472,
538.5747420787811,1962472,1962472,
540.5752370357513,1962472,1962472,
542.5758037567139,1962472,1962472,
544.5761871337891,1962472,1962472,
546.5767328739166,1962472,1962472,
548.5771403312683,1962472,1962472,
550.5775887966156,1962472,1962472,
552.5780065059662,1962472,1962472,
554.5784525871277,1962472,1962472,
556.5788614749908,1962472,1962472,
558.5793125629425,1962472,1962472,
560.5796902179718,1962472,1962472,
562.5800673961639,1962472,1962472,
564.5804300308228,1962472,1962472,
