t,combined_kb,18_45,13_60
0.0008144378662109375,224,212,12
2.0010969638824463,287740,140124,147616
4.005223989486694,572216,286928,285288
6.005554437637329,896252,415380,480872
8.005881071090698,1088760,520600,568160
10.006312608718872,1379052,635432,743620
12.006611108779907,1583232,752928,830304
14.006924390792847,2034564,1033628,1000936
16.00731587409973,2186736,1095076,1091660
18.00767707824707,2391156,1213776,1177380
20.008119106292725,2617044,1328048,1288996
22.00851035118103,3001248,1441228,1560020
24.00892686843872,3410028,1594336,1815692
26.009369134902954,3598744,1957832,1640912
28.009709358215332,3671584,1860492,1811092
30.01325297355652,4033860,2084160,1949700
32.01362490653992,4251680,2208816,2042864
34.01395225524902,4458348,2319644,2138704
36.01434373855591,4659856,2428432,2231424
38.01473689079285,4852936,2533264,2319672
40.01511740684509,5047956,2641292,2406664
42.015482664108276,5387688,2751420,2636268
44.01582956314087,5760784,2856392,2904392
46.01628351211548,6100632,2953132,3147500
48.01668858528137,6535100,3143916,3391184
50.017184019088745,7020444,3369652,3650792
52.02188062667847,7461232,3726368,3734864
54.02233552932739,6781420,3659896,3121524
56.02267909049988,6881836,3760312,3121524
58.0232617855072,6881836,3760312,3121524
60.02407240867615,6881836,3760312,3121524
62.02440643310547,6881836,3760312,3121524
64.02476620674133,6881836,3760312,3121524
66.02517580986023,6881836,3760312,3121524
68.02552247047424,6881836,3760312,3121524
70.02589106559753,6881836,3760312,3121524
72.02815699577332,6881836,3760312,3121524
74.028493642807,6881836,3760312,3121524
76.02885890007019,6881836,3760312,3121524
78.0292432308197,6881836,3760312,3121524
80.02959442138672,6881836,3760312,3121524
82.02994847297668,6881836,3760312,3121524
84.03323292732239,6881836,3760312,3121524
86.03356790542603,6881836,3760312,3121524
88.03394031524658,6881836,3760312,3121524
90.0343120098114,6881836,3760312,3121524
92.03465342521667,6881836,3760312,3121524
94.03496408462524,6881836,3760312,3121524
96.03528308868408,6881836,3760312,3121524
98.0356171131134,6881836,3760312,3121524
100.03591775894165,6881836,3760312,3121524
102.03622770309448,6881836,3760312,3121524
104.03653812408447,6881836,3760312,3121524
106.03683018684387,6881836,3760312,3121524
108.03712677955627,6881836,3760312,3121524
110.04122471809387,6881836,3760312,3121524
112.04150891304016,6881836,3760312,3121524
114.04180026054382,6881836,3760312,3121524
116.04212045669556,6881836,3760312,3121524
118.0424108505249,6881836,3760312,3121524
120.04269242286682,6881836,3760312,3121524
122.04298448562622,6881836,3760312,3121524
124.04329228401184,6881836,3760312,3121524
126.04358839988708,6881836,3760312,3121524
128.04388427734375,6881836,3760312,3121524
130.04522442817688,6881836,3760312,3121524
132.04550123214722,6881836,3760312,3121524
134.04579854011536,6881836,3760312,3121524
136.04609966278076,6881836,3760312,3121524
138.0463981628418,6881836,3760312,3121524
140.04669857025146,6881836,3760312,3121524
142.04699301719666,6881836,3760312,3121524
144.04728174209595,6881836,3760312,3121524
146.04757618904114,6881836,3760312,3121524
148.04788374900818,6881836,3760312,3121524
150.04818725585938,6881836,3760312,3121524
152.04846358299255,6881836,3760312,3121524
154.05322241783142,6881836,3760312,3121524
156.05351305007935,6881836,3760312,3121524
158.05378103256226,6881836,3760312,3121524
160.05496454238892,6881836,3760312,3121524
162.05525636672974,6881836,3760312,3121524
164.05557322502136,6881836,3760312,3121524
166.05587100982666,6881836,3760312,3121524
168.05617094039917,6881836,3760312,3121524
170.05960249900818,6881836,3760312,3121524
172.05988812446594,6881836,3760312,3121524
174.06019496917725,6881836,3760312,3121524
176.06049394607544,6881836,3760312,3121524
178.06079006195068,6881836,3760312,3121524
180.06108975410461,6881836,3760312,3121524
182.06522512435913,6881836,3760312,3121524
184.0655210018158,6881836,3760312,3121524
186.06581926345825,6881836,3760312,3121524
188.06613039970398,6881836,3760312,3121524
190.0664300918579,6881836,3760312,3121524
192.06672930717468,6881836,3760312,3121524
194.06702709197998,6881836,3760312,3121524
196.06732153892517,6881836,3760312,3121524
198.06762170791626,6881836,3760312,3121524
200.0679132938385,6881836,3760312,3121524
202.06821632385254,6881836,3760312,3121524
204.06854605674744,6881836,3760312,3121524
206.06885933876038,6881836,3760312,3121524
208.06922698020935,6881836,3760312,3121524
210.06952571868896,5656984,3760312,1896672
212.07060980796814,3760312,3760312,
214.07099103927612,3760312,3760312,
216.0713930130005,3760312,3760312,
218.0870325565338,3760312,3760312,
220.0873613357544,3760312,3760312,
222.08768725395203,3760312,3760312,
224.0880162715912,3760312,3760312,
226.0883469581604,3760312,3760312,
228.0887200832367,3760312,3760312,
230.08910489082336,3760312,3760312,
232.0895073413849,3760312,3760312,
234.0898916721344,3760312,3760312,
236.09029293060303,3760312,3760312,
238.09079766273499,3760312,3760312,
240.09119510650635,3760312,3760312,
242.09163856506348,3760312,3760312,
244.0921106338501,3760312,3760312,
246.09246182441711,3760312,3760312,
248.09284567832947,3760312,3760312,
250.0932445526123,3760312,3760312,
252.09361672401428,3760312,3760312,
254.09397983551025,3760312,3760312,
256.0955696105957,3760312,3760312,
258.09749698638916,3760312,3760312,
260.0979311466217,3760312,3760312,
262.0983839035034,3760312,3760312,
264.09880924224854,3760312,3760312,
266.0991826057434,3760312,3760312,
268.0995674133301,3760312,3760312,
270.0999367237091,3760312,3760312,
272.1003489494324,3760312,3760312,
274.10075759887695,3760312,3760312,
276.12476539611816,3760312,3760312,
278.15102434158325,3760312,3760312,
280.15895318984985,3760312,3760312,
282.1593518257141,3760312,3760312,
284.1597716808319,3760312,3760312,
286.1602213382721,3760312,3760312,
288.1606299877167,3760312,3760312,
290.16107964515686,3760312,3760312,
292.16158652305603,3760312,3760312,
294.16195821762085,3760312,3760312,
296.1623339653015,3760312,3760312,
298.16273951530457,3760312,3760312,
300.1631851196289,3760312,3760312,
302.163631439209,3760312,3760312,
304.1642072200775,3760312,3760312,
306.1646203994751,3760312,3760312,
308.1650195121765,3760312,3760312,
310.16545152664185,3760312,3760312,
312.16583824157715,3760312,3760312,
314.169260263443,3760312,3760312,
316.16965317726135,3760312,3760312,
318.1700396537781,3760312,3760312,
320.17041277885437,3760312,3760312,
322.1708652973175,3760312,3760312,
324.17136335372925,3760312,3760312,
326.1717619895935,3760312,3760312,
328.17215943336487,3760312,3760312,
330.1726031303406,3760312,3760312,
332.1730625629425,3760312,3760312,
334.17352080345154,3760312,3760312,
336.17394948005676,3760312,3760312,
338.1753385066986,3760312,3760312,
340.1757447719574,3760312,3760312,
342.17613434791565,3760312,3760312,
344.1766448020935,3760312,3760312,
346.177086353302,3760312,3760312,
348.1775677204132,3760312,3760312,
350.1781258583069,3760312,3760312,
352.17853832244873,3760312,3760312,
354.178923368454,3760312,3760312,
356.1794002056122,3760312,3760312,
358.1797914505005,3760312,3760312,
360.1801950931549,3760312,3760312,
362.1861517429352,3760312,3760312,
364.18656849861145,3760312,3760312,
366.18696093559265,3760312,3760312,
368.1873424053192,3760312,3760312,
370.1876926422119,3760312,3760312,
372.1881332397461,3760312,3760312,
374.1885817050934,3760312,3760312,
376.1889669895172,3760312,3760312,
378.189414024353,3760312,3760312,
380.18978905677795,3760312,3760312,
382.1901922225952,3760312,3760312,
384.19057965278625,3760312,3760312,
386.19096779823303,3760312,3760312,
388.1913261413574,3760312,3760312,
390.1916916370392,3760312,3760312,
392.1921854019165,3760312,3760312,
394.1927034854889,3760312,3760312,
