t_s,mem_available_kb,mem_total_kb,matching_rss_kb,n_matching,detail
0.0,7609336,8216168,16684,2,"6101:6204kB;6459:10480kB"
5.0,6954536,8216168,690108,4,"6101:6204kB;6459:10680kB;6462:368504kB;6463:304720kB"
10.1,6447300,8216168,1176188,3,"6459:10680kB;6462:423012kB;6463:742496kB"
15.1,6163344,8216168,1465792,3,"6459:10680kB;6462:423012kB;6463:1032100kB"
20.1,5664808,8216168,1968092,3,"6459:10680kB;6462:423012kB;6463:1534400kB"
25.1,5420584,8216168,1924176,3,"6459:10680kB;6462:423012kB;6463:1490484kB"
30.1,5461944,8216168,1924176,3,"6459:10680kB;6462:423012kB;6463:1490484kB"
35.2,5502180,8216168,1924180,3,"6459:10684kB;6462:423012kB;6463:1490484kB"
40.2,5545084,8216168,1924180,3,"6459:10684kB;6462:423012kB;6463:1490484kB"
45.2,5584864,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
50.2,5626092,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
55.2,5666188,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
60.2,5690948,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
65.2,5691048,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
70.2,5691224,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
75.3,5691112,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
80.3,5691112,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
85.3,5691112,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
90.3,5691112,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
95.3,5691112,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
100.3,5690960,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
105.3,5691568,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
110.4,5691824,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
115.4,5690816,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
120.4,5690816,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
125.6,5690564,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
130.6,5690780,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
135.6,5690024,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
140.6,5690024,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
145.7,5689772,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
150.7,5689772,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
155.7,5688716,8216168,1924184,3,"6459:10688kB;6462:423012kB;6463:1490484kB"
160.7,5688968,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
165.7,5690388,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
170.7,5690176,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
175.7,5689332,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
180.8,5689332,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
185.8,5689332,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
190.8,5689332,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
195.8,5689332,8216168,1924188,3,"6459:10692kB;6462:423012kB;6463:1490484kB"
200.8,5689332,8216168,1924192,3,"6459:10692kB;6462:423012kB;6463:1490488kB"
205.8,5689332,8216168,1924200,3,"6459:10700kB;6462:423012kB;6463:1490488kB"
210.8,5689332,8216168,1924200,3,"6459:10700kB;6462:423012kB;6463:1490488kB"
215.8,5687568,8216168,1924200,3,"6459:10700kB;6462:423012kB;6463:1490488kB"
